name,label
3.sol,0
4.sol,0
1430.sol,0
1431.sol,0
2307.sol,0
2308.sol,0
3211.sol,0
3212.sol,0
3270.sol,0
4598.sol,0
4599.sol,0
4679.sol,0
4833.sol,0
5629.sol,1
4832.sol,1
6192.sol,0
6193.sol,0
6603.sol,0
6604.sol,0
6606.sol,1
14284.sol,1
16925.sol,1
17043.sol,1
18509.sol,1
22074.sol,1
22247.sol,1
22416.sol,1
6607.sol,0
0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,1
0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol,1
0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,1
BECToken.sol,0
insecure_transfer.sol,0
8342.sol,0
8872.sol,0
8873.sol,0
9654.sol,0
10604.sol,0
10605.sol,0
10970.sol,0
10971.sol,0
14353.sol,0
14354.sol,0
14620.sol,0
14806.sol,0
14993.sol,0
14994.sol,0
15553.sol,0
16054.sol,0
16057.sol,0
16058.sol,0
16643.sol,0
16884.sol,0
16926.sol,0
17009.sol,0
24161.sol,1
26523.sol,1
26742.sol,1
29089.sol,1
37707.sol,1
0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,1
0x561eac93c92360949ab1f1403323e6db345cbf31.sol,1
0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,1
integer_overflow_1.sol,0
integer_overflow_add.sol,0
