name,label
3.sol,0
4.sol,0
1430.sol,0
1431.sol,0
2307.sol,0
2308.sol,0
3211.sol,0
3212.sol,0
3270.sol,0
4598.sol,0
4599.sol,0
4679.sol,0
4832.sol,1
4833.sol,0
5629.sol,1
6192.sol,0
6193.sol,0
6603.sol,0
6604.sol,0
6606.sol,1
6607.sol,0
8342.sol,0
8872.sol,0
8873.sol,0
9654.sol,0
10604.sol,0
10605.sol,0
10970.sol,0
10971.sol,0
14284.sol,1
14353.sol,0
14354.sol,0
14620.sol,0
14806.sol,0
14993.sol,0
14994.sol,0
15553.sol,0
16054.sol,0
16057.sol,0
16058.sol,0
16643.sol,0
16884.sol,0
16925.sol,1
16926.sol,0
17009.sol,0
17043.sol,1
17044.sol,0
17518.sol,0
17829.sol,0
17830.sol,0
18145.sol,0
18430.sol,0
18438.sol,0
18509.sol,1
18510.sol,0
18771.sol,0
19128.sol,0
19129.sol,0
19925.sol,0
21241.sol,0
21697.sol,0
21886.sol,0
22074.sol,1
22075.sol,0
22247.sol,1
22416.sol,1
22635.sol,0
22636.sol,0
23792.sol,0
23793.sol,0
24161.sol,1
24196.sol,0
24369.sol,0
24648.sol,0
24649.sol,0
25808.sol,0
26188.sol,0
26523.sol,1
26742.sol,1
26743.sol,0
27121.sol,0
27159.sol,0
27164.sol,0
27263.sol,0
27327.sol,0
27334.sol,0
27603.sol,0
28974.sol,0
29089.sol,1
29090.sol,1
29130.sol,0
29154.sol,0
29590.sol,0
29948.sol,0
29983.sol,0
30046.sol,0
30101.sol,0
30102.sol,0
30254.sol,0
30255.sol,0
30337.sol,0
30338.sol,0
30460.sol,0
31237.sol,0
31238.sol,0
31497.sol,0
31565.sol,0
31759.sol,0
32522.sol,0
33450.sol,0
33512.sol,0
34432.sol,0
34526.sol,0
34668.sol,0
34904.sol,0
35208.sol,0
35661.sol,0
35662.sol,0
35713.sol,0
35714.sol,0
35806.sol,0
35807.sol,0
35878.sol,0
35951.sol,0
36456.sol,0
36481.sol,0
36563.sol,0
36668.sol,0
36836.sol,0
37474.sol,0
37499.sol,0
37645.sol,0
37646.sol,0
37676.sol,0
37707.sol,1
37708.sol,1
37836.sol,0
37891.sol,0
38057.sol,0
38250.sol,0
38420.sol,0
38543.sol,0
38651.sol,0
38828.sol,0
38876.sol,0
38888.sol,0
39019.sol,1
39032.sol,0
39151.sol,0
39199.sol,0
39248.sol,0
39268.sol,0
39269.sol,1
39327.sol,0
39341.sol,0
39644.sol,0
39664.sol,0
39684.sol,0
39705.sol,0
39749.sol,0
39750.sol,0
39777.sol,1
39778.sol,1
39817.sol,0
39866.sol,1
39867.sol,1
39912.sol,0
39934.sol,0
