name,label
3.sol,0
4.sol,0
1430.sol,0
1431.sol,0
2307.sol,0
2308.sol,0
3211.sol,0
3212.sol,0
3270.sol,0
4598.sol,0
4599.sol,0
4679.sol,0
4832.sol,1
4833.sol,0
5629.sol,1
6192.sol,0
6193.sol,0
6603.sol,0
6604.sol,0
6606.sol,1
6607.sol,0
8342.sol,0
8872.sol,0
8873.sol,0
9654.sol,0
10604.sol,0
10605.sol,0
10970.sol,0
10971.sol,0
14284.sol,1
14353.sol,0
14354.sol,0
14620.sol,0
14806.sol,0
14993.sol,0
14994.sol,0
15553.sol,0
16054.sol,0
16057.sol,0
16058.sol,0
16643.sol,0
16884.sol,0
16925.sol,1
16926.sol,0
17009.sol,0
17043.sol,1
17044.sol,0
17518.sol,0
17829.sol,0
17830.sol,0
40753.sol,1
40754.sol,1
40755.sol,1
50002.sol,1
50003.sol,1
50005.sol,1
50006.sol,1
50008.sol,1
50009.sol,1
50010.sol,1
50011.sol,1
50012.sol,1
50013.sol,1
50014.sol,1
50015.sol,1
50016.sol,1
50017.sol,1
50018.sol,1
50019.sol,1
50020.sol,1
50021.sol,1
50022.sol,1
50023.sol,1
50024.sol,1
50031.sol,0
50032.sol,0
50033.sol,0
50034.sol,0
50035.sol,0
50036.sol,0
0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol,1
0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,1
0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,1
0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol,1
0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol,1
0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,1
0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol,1
0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol,1
0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,1
0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,1
BECToken.sol,0
insecure_transfer.sol,0
integer_overflow_1.sol,0
integer_overflow_add.sol,0
integer_overflow_benign_1.sol,0
integer_overflow_mapping_sym_1.sol,0
integer_overflow_minimal.sol,0
integer_overflow_mul.sol,0
integer_overflow_multitx_multifunc_feasible.sol,0
integer_overflow_multitx_onefunc_feasible.sol,0
etherbank.sol,1
etherstore.sol,1
modifier_reentrancy.sol,1
reentrance.sol,1
reentrancy_bonus.sol,1
reentrancy_cross_function.sol,1
reentrancy_dao.sol,1
reentrancy_simple.sol,1
simple_dao.sol,1
spank_chain_payment.sol,1
