name,label
3.sol,0
4.sol,0
1430.sol,0
1431.sol,0
2307.sol,0
2308.sol,0
3211.sol,0
3212.sol,0
3270.sol,0
4598.sol,0
4599.sol,0
4679.sol,0
4832.sol,1
4833.sol,0
5629.sol,1
6192.sol,0
6193.sol,0
6603.sol,0
6604.sol,0
6606.sol,1
6607.sol,0
8342.sol,0
8872.sol,0
8873.sol,0
9654.sol,0
10604.sol,0
10605.sol,0
10970.sol,0
10971.sol,0
14284.sol,1
14353.sol,0
14354.sol,0
14620.sol,0
14806.sol,0
14993.sol,0
14994.sol,0
15553.sol,0
16054.sol,0
16057.sol,0
16058.sol,0
16643.sol,0
16884.sol,0
16925.sol,1
16926.sol,0
17009.sol,0
17043.sol,1
17044.sol,0
17518.sol,0
17829.sol,0
17830.sol,0
40753.sol,1
40754.sol,1
40755.sol,1
50002.sol,1
50003.sol,1
50005.sol,1
50006.sol,1
50008.sol,1
50009.sol,1
50010.sol,1
50011.sol,1
50012.sol,1
50013.sol,1
50014.sol,1
50015.sol,1
50016.sol,1
50017.sol,1
50018.sol,1
50019.sol,1
50020.sol,1
50021.sol,1
50022.sol,1
50023.sol,1
50024.sol,1
50031.sol,0
50032.sol,0
50033.sol,0
50034.sol,0
50035.sol,0
50036.sol,0
